sig_ident,sig_nom_normalise,sig_num_dl,sig_pdc_perfo,sig_source_tg,sig_type_tg,sig_code_cell_am,sig_code_cell_av,sig_tag_tg,sig_commune,sig_nom_sig,sig_type_pdc,sig_statut_mes,sig_type_telegestion,sig_type_compteur,sig_marque_compteur,sig_modele_compteur,sig_marque_datalogger,sig_modele_datalogger,sig_geometry_wkt,sig_gps_x,sig_gps_y
CPT-3130,ST VITH LOMMERSWEILER R ARR LOMMERSWEILER SP,DL5215,O,Lommersweil_R_CM_FT001.F.PV,TGW,S00221101-B01,42500570,Lommersweil_R_CM_FT001.F.PV,SAINT VITH,ST VITH LOMMERSWEILER R ARR LOMMERSWEILER SP,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (778094.7237000018 605377.6242999993 0 nan),6.164717957021124,50.24536623184506
CPT-3153,VIELSALM GOSSOIN R ARR GOSSOIN 2,DL5146,O,Z004060FT2,TGC,S00228901-B01,56/1/8/001,VIELSALM_CM_FT046,VIELSALM,VIELSALM GOSSOIN R ARR DRAIN 2 BYPASS,Production,EN SERVICE,TGC,INCONNU,INCONNU,INCONNU,,,POINT ZM (761464.9457999989 609151.7217000015 0 nan),5.932739781459079,50.28269046232169
CPT-3208,JALHAY SART R1250 DEP SURPRESSE,DL4451,O,Wayai_SP_CM_FT003.F.PV,TGW,42500512,S00234901-B01,Wayai_SP_CM_FT003.F.PV,JALHAY,JALHAY SART WAYAI SP DEP SURPRESSE,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (761976.1846999973 633594.7716999985 0 nan),5.947245823202487,50.502296363130114
CPT-3223,LIERNEUX TRIXHEUF DEP,DL0188,O,Trixheufoss_ST_CM_FT005.F.PV,TGW,55102960,S00197401-B01,Trixheufoss_ST_CM_FT005.F.PV,LIERNEUX,LIERNEUX TRIXHEUFOSSE ST OUT,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (751562.8655999973 608344.5932999998 0 nan),5.793609655315124,50.277238482798055
CPT-3253,VIELSALM HERMAMONT,DL0143,O,DL0143_1,TRD,55102831,55102829,VIELSALM_CM_FT009,VIELSALM,VIELSALM HERMAMONT,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (760904.6809 609848.6383000016 0 nan),5.925086589854387,50.28906120621408
CPT-3255,STAVELOT RENARDMONT SP ARR SOUS WERI,DL3439,O,Renardmont_SP_CM_FT002.F.PV,TGW,S00218501-B01,55104190,Renardmont_SP_CM_FT002.F.PV,STAVELOT,STAVELOT RENARDMONT SP ARR SOUS WERI,Production,EN SERVICE,TGW,DEBITMETRE,INCONNU,INCONNU,,,POINT ZM (759561.1247000024 621674.3687000014 0 nan),5.909701622966855,50.3956104242834
CPT-3284,MALMEDY FLORIHEID BAS R ARR PREAIX SP,DL4978,O,DL4978_1,TRD,S00200201-B01,42500503,MALMEDY_CM_FT059,MALMEDY,MALMEDY FLORIHEID BAS R IN,Production,EN SERVICE,TRD,INCONNU,INCONNU,INCONNU,SOFREL,DL4W-S,POINT ZM (768588.2895999998 624434.7419999987 0 nan),6.037509199342352,50.418657068377776
CPT-3285,MALMEDY WINBORU R DEP CROIX DE CHODES,DL3579,O,Wimboru_R_CM_FT003.F.PV,TGW,42500529,S00296201-B01,Wimboru_R_CM_FT003.F.PV,MALMEDY,MALMEDY WINBORU R DEP CROIX DE CHODES,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (769196.1838999987 625857.1143000014 0 nan),6.046515645016922,50.431317621851186
CPT-3286,STAVELOT STER R OUT,DL0226,O,Ster_R_CM_FT002.F.PV,TGW,55103184,S00217202-B01,Ster_R_CM_FT002.F.PV,STAVELOT,STAVELOT STER R OUT,Production,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,INCONNU,,,POINT ZM (765389.6224000007 629875.0639999993 0 nan),5.994196123982648,50.46819694629176
CPT-3309,ST VITH SCHLIERBACH R300 DEP LOMMERSWEILER,DL5189,O,Schlierbach_R_CM_FT002.F.PV,TGW,42500570,S00292401-B01,Schlierbach_R_CM_FT002.F.PV,SAINT VITH,ST VITH SCHLIERBACH R300 DEP LOMMERSWEILER,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (778961.8854999989 608332.0300999992 0 nan),6.177886456502203,50.271729897059245
CPT-3338,VIELSALM GORONNE HAUT R IN,DL5130,O,DL5130_1,TRD,S00228801-B01,55102825,VIELSALM_CM_FT029,VIELSALM,VIELSALM GORONNE HAUT R IN,Production,EN SERVICE,TRD,COMPTEUR,ITRON,FLOSTAR,SOFREL,DL4W-S,POINT ZM (755830.4447999969 608898.2126000002 0 nan),5.85362587221588,50.28145821521736
CPT-3347,VIELSALM HESTREUX R ARR D2,DL3647,O,Hestreux_ST_CM_FT002.F.PV,TGW,S00229301-B01,55/8/3/007,Hestreux_ST_CM_FT002.F.PV,VIELSALM,VIELSALM HESTREUX ST ARR D2,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (755500.324500002 605620.8520999998 0 nan),5.848072986190634,50.25205843282789
CPT-3352,MALMEDY AL GOFFE BOUSSIRE S DEP RECRA,DL2944,O,AlGofBoussir_S_CM_FT003.F.PV,TGW,55302935,S00198901-B01,AlGofBoussir_S_CM_FT003.F.PV,MALMEDY,MALMEDY AL GOFFE BOUSSIRE S DEP RECRA,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (770116.9566999972 626592.3682000004 0 nan),6.059709183620451,50.437737283473915
CPT-3354,MALMEDY MONT R ARR HOCKAI,DL3685,O,MalmedyMont_R_CM_FT001.F.PV,TGW,S00201501-B01,55109180,MalmedyMont_R_CM_FT001.F.PV,MALMEDY,MALMEDY MONT R ARR HOCKAI,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (769419.1389999986 630771.8456999995 0 nan),6.0512291378987495,50.47544574965565
CPT-3378,VIELSALM GOLONFA R ARR ,DL7094,N,Golonfa_R_CM_FT003,TGW,S00228501-B01,S00228501-B01,,,,None,,,,,,,,POINT ZM (760538.1127000004 611165.6941 0 nan),5.920332231768398,50.30096902161149
CPT-3424,STAVELOT FRANCORCHAMPS HOTEL DE LA SOURCE,DL6913,N,,NONE,42509512,42509512,,,,None,,,,,,,,POINT ZM (762997.6596999988 627487.3471999988 0 nan),5.959785731623176,50.447204133440394
CPT-3487,MALMEDY CHODES FILTRE 2,DL3816,N,Z004204FT6,TGC,S00199701-B01,S00199701-B01,,,,None,,,,,,,,POINT ZM (769401.5141000003 626316.3542000018 0 nan),6.049552071907476,50.43540331363139
CPT-3488,MALMEDY CHODES REACTIF ET REMINERALISATION,DL3821,N,,,S00199701-B01,S00199701-B01,,,,None,,,,,,,,POINT ZM (769370.4861000031 626304.7906000018 0 nan),6.049111721503008,50.43530572839096
CPT-3489,MALMEDY WINBORU R DEP AL GOFFE BOUSSIRE,DL6824,N,Wimboru_R_CM_FT004.F.PV,TGW,S00296201-B01,S00296201-B01,,,,None,,,,,,,,POINT ZM (769194.5940999985 625856.2241000012 0 nan),6.046492989531773,50.431309945439224
CPT-3491,MALMEDY PONT VILLAGE R DEP ST DONAT,DL5946,N,,,55302912,55302912,,,,None,,,,,,,,POINT ZM (768693.800999999 618282.8552000001 0 nan),6.03703761051252,50.36334160205907
CPT-3492,MALMEDY AISANCE ARIMONT R OUT,DL5841,N,,,S00198801-B02,S00198801-B02,,,,None,,,,,,,,POINT ZM (771104.3365999982 623869.5025000013 0 nan),6.0727203623992745,50.41306006207435
CPT-3516,VIELSALM HESTREUX ST LAVAGE,DL6672,N,Hestreux_ST_CM_FT005.F.PV,TGW,S00229301-B01,S00229301-B01,,,,None,,,,,,,,POINT ZM (755497.9742000028 605623.7217999995 0 nan),5.848040843491811,50.25208465159143
CPT-3601,LIERNEUX TRIXHEUFOSSE R LAVAGE,DL6681,N,,NONE,S00197401-B01,S00197401-B01,,,,None,,,,,,,,POINT ZM (751565.4756999984 608343.6136999987 0 nan),5.793646001411481,50.277229223987646
CPT-3603,LIERNEUX TRIXHEUFOSSE R FILTRE,DL6682,N,,NONE,S00197401-B01,S00197401-B01,,,,None,,,,,,,,POINT ZM (751570.6665000021 608336.3944000006 0 nan),5.793716855553151,50.277163429004624
CPT-3631,JALHAY AVENUE JOSEPH JONGEN,DL5918,N,,NONE,42500512,42500512,,,,None,,,,,,,,POINT ZM (762374.7050999999 633309.1906999983 0 nan),5.952775755124656,50.49965274461848
CPT-3633,STAVELOT ADD SART DN600  VERS LODOMEZ R300,DL5925,N,,,42509512,42509512,HTMasta_CV_CM_FT004.F.PV,STAVELOT,STAV AMERMONT CV 21 ADD VERS LODOMEZ R,Adduction,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,INCONNU,,,POINT ZM (762047.7853000015 622979.8460999988 0 nan),5.945059386540339,50.4068724868766
CPT-3646,LIERNEUX ROUTE DE BANNEUX REF,DL5907,N,,,55102964,55102964,,,,None,,,,,,,,POINT ZM (749266.9285999984 609955.6805999987 0 nan),5.761831481126336,50.292114725893356
CPT-3726,WAIMES ANDRIFOSSE,DL2864,N,,NONE,42500519,42500519,,,,None,,,,,,,,POINT ZM (774798.5420000032 629911.3911999986 0 nan),6.126705205241766,50.466585536503075
CPT-3739,VIELSALM GOLONFA R FILTRATION,DL6675,N,,NONE,S00228501-B01,S00228501-B01,,,,None,,,,,,,,POINT ZM (760532.3022999987 611169.9633999988 0 nan),5.920251951844646,50.30100849462887
CPT-3757,VIELSALM OTRE H,DL6688,N,,NONE,55102843,55102843,,,,None,,,,,,,,POINT ZM (754615.249499999 604710.0918000005 0 nan),5.8354109635291955,50.24403066069151
CPT-3793,STAVELOT SOMAGNE HAUT R REF,DL5909,N,,,55103166,55103166,,,,None,,,,,,,,POINT ZM (761755.2594000027 619714.8372000009 0 nan),5.939967346205114,50.37758138059712
CPT-3904,STAVELOT AMERMONT PRISE DN150 VERS HAUTE LEVEE R,DL4952,O,DL4952_1,TRD,42500523,42509512,HTMasta_CV_CM_FT006.F.PV,STAVELOT,STAV AMERMONT CV21 VERS HAUTE LEVEE R,Adduction,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,INCONNU,,,POINT ZM (762042.7056000009 622977.8654999994 0 nan),5.944987347459965,50.406855659794935
CPT-3908,LIERNEUX BANEUX BAS R20 ARR DRAIN,DL5113,N,Baneux_ST_CM_FT002.F.PV,TGW,S00196201-B01,55/3/9/003,Baneux_ST_CM_FT002.F.PV,LIERNEUX,LIERNEUX BANEUX ST ARR DRAIN,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (748849.6731999964 608823.6290999986 0 nan),5.755678026112161,50.2820094678588
CPT-3961,LIERNEUX VILETTE,DL2501,O,DL2501_1,TRD,55102952,55102953,LIERNEUX_CM_FT003,LIERNEUX,LIERNEUX VILETTE,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (746825.1530999988 613167.1295999996 0 nan),5.7284007067787694,50.32139206160788
CPT-3999,VIELSALM GRAV FRAITURE VILLAGE,DL0149,O,Fraiture_ST_CM_FT003.F.PV,TGW,55102839,S00228401-B01,Fraiture_ST_CM_FT003.F.PV,VIELSALM,VIELSALM FRAITURE R125 DEP GRAV FRAITURE VILLAGE,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (748160.8935000002 604900.2498000003 0 nan),5.744988180414753,50.24685823540811
CPT-4006,VIELSALM FRAITURE SP ARR DRAIN E2,DL5202,N,Fraiture_SP_CM_FT001.F.PV,TGW,S00228401-B02,55/7/3/002,,,,None,,,,,,,,POINT ZM (748150.3025000021 605767.8192999996 0 nan),5.745066729337423,50.254658612890836
CPT-4105,JALHAY VECQUEE R ARR WAYAI SP,DL6467,O,Vecquee_R_CM_FT001.F.PV,TGW,003005-B01,42500512,Vecquee_R_CM_FT001.F.PV,JALHAY,JALHAY VECQUEE R ARR WAYAI SP,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (762824.4025999978 630900.3986000009 0 nan),5.958381758358125,50.47791506670568
CPT-4107,STAVELOT PRISE ADD ROUTE DU CIRCUIT,DL3466,O,DL3466_1,TRD,55103183,42509512,Baronheid_R_CV_CM_FT006.F.PV,STAVELOT,STAVELOT PRISE ADD ROUTE DU CIRCUIT,Adduction,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,INCONNU,,,POINT ZM (762792.1809 628075.5465000011 0 nan),5.957071505650756,50.452530814245286
CPT-4227,WAIMES SOURBRODT P,DL3038,O,DL3038_1,TRD,55302402,42500519,WAIMES_CM_FT008,WAIMES,WAIMES SOURBRODT PRISE RUE HAUTE,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (773942.7820999995 631863.9954999983 0 nan),6.115305132152629,50.484317667236816
CPT-4229,WAIMES BOTRANGE RES HT,DL3037,O,Botrange_ST_CM_FT003.F.PV,TGW,55302404,S00231701-B01,Botrange_ST_CM_FT003.F.PV,WAIMES,WAIMES BOTRANGE INF ST DEP RESEAU,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (773574.2158000022 632222.1959999986 0 nan),6.110232187604732,50.487615347548726
CPT-4230,WAIMES CHAMPAGNE R100 ARRIVEE DRAIN D1,DL5852,N,,,S00231801-B01,50/7/1/002,,,,None,,,,,,,,POINT ZM (775377.2902000025 626739.3013999984 0 nan),6.133787129353523,50.437951339545066
CPT-4237,VIELSALM MONT LE SOIE R,DL0164,O,DL0164_1,TRD,55102822,55102829,VIELSALM_CM_FT012,VIELSALM,VIELSALM MONT LE SOIE R,Production,EN SERVICE,TRD,COMPTEUR,ELSTER,INCONNU,SOFREL,LS42,POINT ZM (760640.990199998 613308.6638999991 0 nan),5.922409164198786,50.32021173390502
CPT-4238,STAVELOT GRANDPREZ SP SWERI,DL0221,O,GrandPrez_S_CM_FT001.F.PV,TGW,55103190,55103155,GrandPrez_S_CM_FT001.F.PV,STAVELOT,STAVELOT GRANDPREZ SP SWERI,Production,EN SERVICE,TGW,DEBITMETRE,INCONNU,INCONNU,,,POINT ZM (760684.5348000005 621310.5687999986 0 nan),5.925390386434855,50.39212847229681
CPT-4239,VIELSALM DEP BECHE,DL0155,O,Z004059FT4,TGC,55102834,55102847,VIELSALM_CM_FT066,VIELSALM,VIELSALM DEP BECHE,Production,EN SERVICE,TGC,INCONNU,INCONNU,INCONNU,,,POINT ZM (759851.9244000018 607128.5245999992 0 nan),5.909519563784491,50.264809831337416
CPT-4241,VIELSALM HOURT R OUT,DL0163,O,Z004054FT2,TGC,55102820,S00229401-B01,JALHAY_CM_FT007,VIELSALM,VIELSALM HOURT R OUT,Production,EN SERVICE,TGC,INCONNU,INCONNU,INCONNU,,,POINT ZM (759958.8624000028 612992.8438000008 0 nan),5.912739914269925,50.31750167221368
CPT-4242,VIELSALM BECHE ARR LAGUESPRE,DL3449,O,Z004059FT2,TGC,S00230501-B01,55102847,VIELSALM_CM_FT021,VIELSALM,VIELSALM BECHE ARR LAGUESPRE,Distribution,EN SERVICE,TGC,INCONNU,INCONNU,INCONNU,,,POINT ZM (759840.2243999988 607129.5731999986 0 nan),5.909355804217112,50.26482145278177
CPT-4252,VIELSALM MONT R50 ARR DRAIN,DL5117,O,DL0161_3,TRD,S00229101-B01,55/4/6/001,VIELSALM_CM_FT025,VIELSALM,VIELSALM MONT R50 ARR DRAIN,Production,EN SERVICE,TRD,COMPTEUR,ITRON,FLOSTAR,SOFREL,LS42,POINT ZM (757701.3460000008 613037.7065000013 0 nan),5.881060819867373,50.31832521126765
CPT-4254,VIELSALM MONT R DEP,DL0161,O,DL0161_1,TRD,55102818,S00229101-B01,VIELSALM_CM_FT011,VIELSALM,VIELSALM MONT R50 DEPART,Production,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (757703.855899997 613037.8267999999 0 nan),5.881096090172275,50.318325830134356
CPT-4354,MALMEDY FLORIHEID HAUT R DEPART SURP HEDOMONT,DL4410,O,FloriheidH_SP_CM_FT004.F.PV,TGW,42500050,S00200301-B01,FloriheidH_SP_CM_FT004.F.PV,MALMEDY,MALMEDY FLORIHEID HAUT R DEP SURP,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (768016.2264999971 623984.2419000007 0 nan),6.029318978232483,50.41472387385072
CPT-4355,MALMEDY FLORIHEID HAUT R ARRIPREAIX SP,DL4979,O,FloriheidH_SP_CM_FT001.F.PV,TGW,S00200301-B01,42500503,FloriheidH_SP_CM_FT001.F.PV,MALMEDY,MALMEDY FLORIHEID HAUT R ARR PREAIX SP,Production,EN SERVICE,TGW,COMPTEUR,ITRON,FLOSTAR,,,POINT ZM (768020.3464000002 623984.0324000008 0 nan),6.029376864923151,50.414721157782
CPT-4361,STAVELOT STER R ARR BARONHEID R,DL4470,O,Ster_R_CM_FT001.F.PV,TGW,S00217202-B01,42500517,Ster_R_CM_FT001.F.PV,STAVELOT,STAVELOT STER R ARR BARONHEID R,Production,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,INCONNU,,,POINT ZM (765387.6925999969 629873.8537999988 0 nan),5.9941685720134785,50.468186450820944
CPT-4459,MALMEDY CHODES ST VERS WINBORU R,DL4966,O,DL4966_1,TRD,S00199701-B01,42500529,MALMEDY_CM_FT040,MALMEDY,MALMEDY CHODES ST DEP WINBORU R,Production,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (769288.8955999985 625992.0639000013 0 nan),6.0478634258252,50.43251161039851
CPT-4460,MALMEDY CHODES SP ARR EAU BRUTE,DL3814,N,Z004204FT1,TGC,S00199701-B01,Unknown,,,,None,,,,,,,,POINT ZM (769408.313699998 626317.7349999994 0 nan),6.049648202740603,50.435414332768396
CPT-4462,MALMEDY BRANTANO ALLIE,DL2969,O,DL2969_1,TRD,55302944,55302936,MALMEDY_CM_FT017,MALMEDY,MALMEDY BRANTANO ALLIE,Distribution,EN SERVICE,TRD,DEBITMETRE,ENDRESS HAUSER,PROMAG53,SOFREL,LS42,POINT ZM (767508.565700002 625113.9717999995 0 nan),6.022533947571165,50.424980479580825
CPT-4474,VIELSALM WEZ DES POURCEAUX ST DEP RESEAU,DL3648,O,Z004058FT1,TGC,55102842,42500574,WezPourceaux_ST_CM_FT001.F.PV,VIELSALM,VIELSALM WEZ DES POURCEAUX ST DEP RESEAU,Adduction,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,INCONNU,,,POINT ZM (750333.8180000037 605466.8988999985 0 nan),5.775599783558213,50.25158323104599
CPT-4576,MANHAY VAUX CHAVANNE ACHAT AC MANHAY,DL6806,O,DL6806_1,TRD,42500638,Unknown,MANHAY_CM_FT005,MANHAY,MANHAY VAUX CHAVANNE ACHAT AC MANHAY,Achat,EN ATTENTE,TRD,INCONNU,INCONNU,INCONNU,,,POINT ZM (745200.1899999976 610322.1403999999 0 nan),5.704861870674452,50.29608543116719
CPT-4604,MALMEDY BEVERCE,DL2967,O,Z004205FT2,TGC,55302942,55302948,MALMEDY_CM_FT002,MALMEDY,MALMEDY BEVERCE,Production,EN SERVICE,TGC,INCONNU,INCONNU,INCONNU,,,POINT ZM (768657.0138999969 626940.7487999983 0 nan),6.039273800834463,50.44116730699433
CPT-4605,MALMEDY FERME LIBERT,DL2919,O,Z004205FT1,TGC,55302929,55302948,MALMEDY_CM_FT007,MALMEDY,MALMEDY FERME LIBERT,Production,EN SERVICE,TGC,INCONNU,INCONNU,INCONNU,,,POINT ZM (768655.184100002 626940.0885999985 0 nan),6.039247837215625,50.441161745254895
CPT-4606,MALMEDY TAHON R ARR HEDOMONT CV,DL4988,O,DL4988_1,TRD,002024-B02,42500632,MALMEDY_CM_FT055,MALMEDY,MALMEDY TAHON R ARR HEDOMONT CV,Production,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (769963.7463999987 620298.0929999985 0 nan),6.055528976353035,50.38119545092813
CPT-4608,MALMEDY NAPOLEON R ARR HEDOMONT CV,DL4986,O,Napoleon_R_CM_FT001.F.PV,TGW,S00201601-B01,42500632,Napoleon_R_CM_FT001.F.PV,MALMEDY,MALMEDY NAPOLEON R ARR HEDOMONT CV,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (770072.5824000016 620646.7965000011 0 nan),6.057170941135139,50.38430727001558
CPT-4610,MALMEDY HEDOMONT R DEP BAUGNEZ,DL2881,O,Hedomont_R_CM_FT002.F.PV,TGW,55302932,S00283301-B01,Hedomont_R_CM_FT002.F.PV,MALMEDY,MALMEDY HEDOMONT R DEP BAUGNEZ,Production,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,INCONNU,,,POINT ZM (769943.8321999982 622247.7294999994 0 nan),6.055875371107173,50.39872305461442
CPT-4611,MALMEDY XHOFFRAIS SP VERS MONT R200,DL4452,O,Z999999FT99,TGC,42500513,002028-B01,Xhoffraix_SP_CM_FT002.F.PV,MALMEDY,MALMEDY XHOFFRAIS SP DEP MONT R200,Production,EN SERVICE,TGW,DEBITMETRE,INCONNU,INCONNU,,,POINT ZM (770958.1877999976 628857.3641999997 0 nan),6.072283572787253,50.45792120840798
CPT-4612,MALMEDY NAPOLEON R33 DEP VERS LIGNEUVILLE,DL3674,O,Napoleon_R_CM_FT002.F.PV,TGW,55302914,S00201601-B01,Napoleon_R_CM_FT002.F.PV,MALMEDY,MALMEDY NAPOLEON R33 DEP VERS LIGNEUVILLE,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (770072.9323000014 620647.056499999 0 nan),6.057175943437927,50.38430953499084
CPT-4613,MALMEDY LONGFAYE,DL2928,O,DL2928_1,TRD,55302946,55302947,MALMEDY_CM_FT019,MALMEDY,MALMEDY LONGFAYE,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (771081.1347000003 630399.3013000004 0 nan),6.074516168231965,50.4717545344555
CPT-4614,MALMEDY ST DONAT R OUT,DL2915,O,DL2915_1,TRD,55302912,S00202001-B01,MALMEDY_CM_FT014,MALMEDY,MALMEDY ST DONAT R OUT,Production,EN ATTENTE,TRD,DEBITMETRE,ENDRESS HAUSER,PROMAG53,,,POINT ZM (770197.7008000016 617267.9486999996 0 nan),6.057843005791726,50.35391207822253
CPT-4616,MALMEDY AL GOFFE BOUSSIRE S ARR CHODES SP,DL3583,O,AlGofBoussir_S_CM_FT001.F.PV,TGW,S00198901-B01,42500530,AlGofBoussir_S_CM_FT001.F.PV,MALMEDY,MALMEDY AL GOFFE BOUSSIRE S ARR CHODES SP,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (770116.876699999 626592.6381999999 0 nan),6.059708144793669,50.43773972670916
CPT-4650,VIELSALM LAGUESPRE DEP ZI,DL0141,O,Laguespre_R_CM_FT004.F.PV,TGW,55102828,S00229801-B02,Laguespre_R_CM_FT004.F.PV,VIELSALM,VIELSALM LAGUESPRE DEP ZI,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (764498.3043000028 609386.8957999982 0 nan),5.97536291488618,50.284218606045826
CPT-4652,VIELSALM LAGUESPRE R200 ARR DRAIN 1,DL5156,N,Laguespre_R_CM_FT001.F.PV,TGW,S00229801-B02,56/1/9/002,Laguespre_R_CM_FT001.F.PV,VIELSALM,VIELSALM LAGUESPRE R200 ARR DRAIN 1,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (764501.9142000005 609387.5762000009 0 nan),5.975413763219526,50.28422401540737
CPT-4686,LIERNEUX FANGE COLAS SP ARR ARBREFONTAINE R,DL5123,O,FangeColas_SP_CM_FT001.F.PV,TGW,S00196901-B01,42500545,FangeColas_SP_CM_FT001.F.PV,LIERNEUX,LIERNEUX FANGE COLAS SP ARR ARBREFONTAINE R,Production,EN SERVICE,TGW,DEBITMETRE,,INCONNU,,,POINT ZM (754943.7296999991 611700.0309999995 0 nan),5.84197204868909,50.306802842915964
CPT-4737,LIERNEUX MOULIN DE SART,DL0195,O,DL0195_1,TRD,55102956,55102846,LIERNEUX_CM_FT005,LIERNEUX,LIERNEUX MOULIN DE SART,Distribution,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (756058.9601000026 607287.0452999994 0 nan),5.85637568322183,50.26693446469052
CPT-4787,ST VITH BREITFELD R ARR BREITFELD CV,DL6402,O,Breitfeld_R_CM_FT001.F.PV,TGW,S00220901-B01,55309455,Breitfeld_R_CM_FT001.F.PV,SAINT VITH,ST VITH BREITFELD R ARR BREITFELD CV,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (777536.9597000033 607763.6262999997 0 nan),6.157710517298749,50.26693314843003
CPT-4807,JALHAY CV5 VC SART TIEGE,DL7190,O,LTGilStav_CV8_CM_FT002.F.PV,TGW,55103414,42500601,LTGilStav_CV8_CM_FT002.F.PV,JALHAY,JALHAY CV5 VC SART TIEGE,Adduction,EN SERVICE,TGW,DEBITMETRE,INCONNU,INCONNU,,,POINT ZM (761822.1410000026 634967.0819000006 0 nan),5.94548812107247,50.514660586895
CPT-4833,STAVELOT RCP HAUTE LEVEE,DL5910,N,,,55103158,55103158,,,,None,,,,,,,,POINT ZM (761213.2317000031 622490.6495000012 0 nan),5.933175794629306,50.40263503314874
CPT-4838,LIERNEUX JEVIGNE SP IN,DL3454,O,Jevigne_SP_CM_FT001.F.PV,TGW,S00197301-B01,55102961,Jevigne_SP_CM_FT001.F.PV,LIERNEUX,LIERNEUX JEVIGNE SP IN,Production,EN SERVICE,TGW,DEBITMETRE,ENDRESS HAUSER,PROMAG53,,,POINT ZM (749157.363499999 610264.0252999999 0 nan),5.760375782574938,50.29490501618943
CPT-4841,VIELSALM SURP PLATEAU BARAQUE,DL0150,O,Fraiture_ST_CM_FT004.F.PV,TGW,55102840,S00228401-B01,Fraiture_ST_CM_FT004.F.PV,VIELSALM,VIELSALM FRAITURE R125 DEP SURP PLATEAU BARAQUE,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (748159.3637999967 604897.5196000002 0 nan),5.744966022555789,50.246833950229174
CPT-4901,MALMEDY TAHON QUARTIER,DL2908,O,DL2908_1,TRD,55302918,002024-B02,MALMEDY_CM_FT023,MALMEDY,MALMEDY TAHON QUARTIER,Production,EN SERVICE,TRD,DEBITMETRE,SIEMENS,MAG8000,SOFREL,LS42,POINT ZM (769956.8342999965 620316.3718000017 0 nan),6.055437686578538,50.381361162203
CPT-4906,WAIMES BOTRANGE RT SURP CENTRE NATURE,DL5715,O,Botrange_SP_CM_FT002.F.PV,TGW,55302405,S00231701-B03,Botrange_SP_CM_FT002.F.PV,WAIMES,WAIMES BOTRANGE SP DEP SURP CENTRE NATURE,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (773057.206600003 632958.4332000017 0 nan),6.1031922584727045,50.49434188818042
