sig_ident,sig_nom_normalise,sig_num_dl,sig_pdc_perfo,sig_source_tg,sig_type_tg,sig_code_cell_am,sig_code_cell_av,sig_tag_tg,sig_commune,sig_nom_sig,sig_type_pdc,sig_statut_mes,sig_type_telegestion,sig_type_compteur,sig_marque_compteur,sig_modele_compteur,sig_marque_datalogger,sig_modele_datalogger,sig_geometry_wkt,sig_gps_x,sig_gps_y
CPT-1618,VIELSALM COMMANSTER ACHAT GOUVY DN80,DL5493,O,DL5493_1,TRD,55102827,Unknown,VIELSALM_CM_FT064,VIELSALM,VIELSALM COMMANSTER ACHAT GOUVY DN80,Achat,EN SERVICE,TRD,COMPTEUR,ITRON,FLOSTAR,SOFREL,DL4W-S EA,POINT ZM (767092.7062000036 606417.0810000002 0 nan),6.010830593290771,50.25701152524863
CPT-1626,STAVELOT HOCKAI R ARR HOCKAI VILLAGE,DL3755,O,Hockai_SP_CM_FT001.F.PV,TGW,S00217801-B01,55103180,Hockai_SP_CM_FT001.F.PV,STAVELOT,STAVELOT HOCKAI SP ARR HOCKAI VILLAGE,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (765799.4909999967 631152.8559999987 0 nan),6.000365928865428,50.479600631110024
CPT-1627,MALMEDY BERNISTER HYDRO,DL2934,O,LesCombes_SP_CM_FT002.F.PV,TGW,55302928,S00199901-B01,LesCombes_SP_CM_FT002.F.PV,MALMEDY,MALMEDY COMBES R REF BERNISTER,Production,EN SERVICE,TGW,INCONNU,INCONNU,INCONNU,,,POINT ZM (764788.3924999982 626000.6409000009 0 nan),5.984534687884747,50.43349154981476
CPT-1645,VIELSALM HOURT R30 ARR DRAIN,DL5139,O,Z004054FT1,TGC,S00229401-B01,56/1/4/001,VIELSALM_CM_FT040,VIELSALM,VIELSALM HOURT DRAIN DEP R30,Production,EN SERVICE,TGC,INCONNU,INCONNU,INCONNU,,,POINT ZM (759966.2920999974 612995.1746999994 0 nan),5.912844899492944,50.317521226140016
CPT-1647,JALHAY MORFAT ARR ADD,DL0242,O,A000217FT1,TGC,001946-B04,55103180,JALHAY_CM_FT010,JALHAY,JALHAY MORFAT ARR ADD,Production,EN SERVICE,TGC,INCONNU,INCONNU,INCONNU,,,POINT ZM (762993.8668000028 631529.4829999991 0 nan),5.96095994998265,50.48353658315634
CPT-1679,VIELSALM GOSSOIN R ARR DRAIN 1,DL5145,O,Z004060FT1,TGC,S00228901-B01,56/1/8/001,VIELSALM_CM_FT045,VIELSALM,VIELSALM GOSSOIN R ARR DRAIN 1,Production,EN SERVICE,TGC,INCONNU,INCONNU,INCONNU,,,POINT ZM (761467.1359999999 609150.3020000011 0 nan),5.93277008338718,50.28267728403118
CPT-1755,MALMEDY CHODES FILTRE 1,DL3815,N,Z004204FT5,TGC,S00199701-B01,S00199701-B01,,,,None,,,,,,,,POINT ZM (769404.4338999987 626316.7846000008 0 nan),6.049593299135921,50.43540658455034
CPT-1757,MALMEDY MONT R2 ARR D (FT2) HS,DL5843,N,,NONE,S00201501-B01,S00201501-B01,,,,None,,,,,,,,POINT ZM (769420.1689999998 630770.8957999982 0 nan),6.051243340040528,50.47543700096975
CPT-1758,MALMEDY CHODES FILTRE 4,DL3818,N,Z004204FT8,TGC,S00199701-B01,S00199701-B01,,,,None,,,,,,,,POINT ZM (769395.2542999983 626315.7234999985 0 nan),6.04946377786593,50.43539892588856
CPT-1759,MALMEDY MONT R2 ARR D (FT1) HS,DL5844,N,,NONE,S00201501-B01,S00201501-B01,,,,None,,,,,,,,POINT ZM (769420.4689999968 630770.9259000011 0 nan),6.051247575062034,50.4754372100528
