sig_num_sap,sig_nom_bapteme,sig_capacite_totale,sig_cote_sol,sig_proprietaire,sig_gestionnaire,sig_annee_pose,indice_position,cellule_subnet,code_fonction,commentaire,centre_exploit,commune,adresse,precloca,coord_x,coord_y,gps_lat,gps_long,diponibilite,derctrl,proctrl,decompte,diamtre_trap,entreprise,entreprise_autre,implantation,acces,largeur,longueur,hauteur,alim_elec,mm_lien,stationnement,zf_nom,zone_delestage,ident,objectid,revetement,valide,nature,diam_nom,materiau,calorifuge
S00211601-B01,002116-B01,200,302,1014,1014,1900,2,,H,,,63072,,,755480.00735807,632658.22836907,50.49507443,5.85540209,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={c8a155a2-8753-4bd7-9b8a-fe93ed89c965},,8,,BAT-1318,1318,X,,,,,
S00212201-B01,002122-B01,70,363.2,1014,1014,1900,2,,,,,63072,,,756604.00231478,633094.62854438,50.49877511,5.87136242,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={ec6ca3ed-5030-44ba-9f8f-9b36d7a7ab16},,8,,BAT-1319,1319,X,,,,,
S00194301-B01,001943-B04,50,438.426,1014,1014,1900,4,,H,,,63038,,,759607.52915117,632173.55964253,50.49006264,5.91330335,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={2c2b8632-35e4-4ccf-9b52-c7ca3c7cafd3},,8,,BAT-1320,1320,X,2024-06-03T00:00:00,,,,
S00194301-B03,001943-B02,,,1014,1014,1900,4,,,,,63038,,,759611.41673516,632188.98039897,50.49012108,5.91348653,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={5dafdb74-223a-4c22-99ba-0e88eaa52941},,8,,BAT-1321,1321,X,,,,,
S00194301-B02,001943-B01,,,1014,1014,1900,4,,,,,63038,,,759625.43510425,632136.07272277,50.4896373,5.91367554,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={4a26aaf0-cb9e-4915-bf8c-5726d1c4bae5},,8,,BAT-1322,1322,X,,,,,
S00221501-B04,002215-B04,,,1014,1014,1900,3,,,,,63076,,,748404.7607,631280.8857,50.48394752,5.75535723,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={40d3e9c6-f37c-4f70-a941-ef505b6fd24d},,8,,BAT-1323,1323,X,,,,,
S00221501-B03,002215-B03,,,1014,1014,1900,3,,,,,63076,,,748495.74865,631324.84175,50.48432676,5.75664953,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={d32d6e1b-3324-4e02-92c9-a23d4b032ac8},,8,,BAT-1324,1324,X,,,,,
S00221501-B02,002215-B02,,,1014,1014,1900,3,,,,,63076,,,748571.592025,631367.74084229,50.48469724,5.75772569,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={c308869a-62c5-4c4c-9f52-ec116c7786be},,8,,BAT-1325,1325,X,,,,,
S00221501-B01,002215-B01,,,1014,1014,1900,3,,,,,63076,,,748622.30765,631395.95695,50.4849428,5.75844869,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={e93f6066-c8f5-4675-a915-32d2d87f1a4d},,8,,BAT-1326,1326,X,,,,,
S00221601-B01,002216-B01,,,1014,1014,1900,5,,a,,,62009,,,751159.091,625957.41995,50.43561998,5.79270116,O,,,,,,,,O,,,,,https://sig.digiteaux.be/portal/apps/dashboards/b98bc7d8b2594569b3a9db2c86433503#p1={47bea256-e28c-4f9d-844c-6b6573072878},,8,,BAT-1327,1327,X,,,,,
