objectid,type,code_eunis,travauxbiodivdebut,travauxbiodivfin,ident,ventesdebois,commune,num_sap,nom_sap,num_sap_anc,fiabilite,statut,observation,proprietaire,gestionnaire,natura2000code,natura2000nom,nom_agent_n2000,tel_agent_n2000,canton_dnf,triage_dnf,tel_canton_dnf,agent_dnf,tel_agent_dnf,gps_lat,gps_long,symbo,gestiondiff,complet,travauxbiodiversite,regime_forestier,tonte,fauchage_cla,fauchage_tar,haie,surface_etan,debrousaillement,plandeau,desherbage,demoussage,clotureconf1,cloturenconf1,portailconf,clotureconf2,clotureconf3,portailnconf,cloturenconf2,cloturenconf3,plantation,fosseterre,fossebeton,caniveau,avaloir,panneaupv,refplan,debroussaillement_tar,plandeautechnique,degagementcloture,deneigement,salage,mm_lien
19307,PPR,,,,TER-221,,Jemeppe-sur-Sambre,S00150801,MOUSTIER PC,001508-T01,5,regul,,,,,,,,NAM,SOYE,,,,,,PPR_autre,,,,,,15,,,,,,,41,,,,,,,,,,,4,3,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={8A1468DB-6B02-45EA-9443-BB9F1AE1BD2A}
19310,PPR,,,,TER-224,,Fleurus,S00144701,HEPPIGNIES CE,001447-T01,5,regul,,,,,,,,NIV,FLEURUS,,,,,,PPR_autre,,,,,110,,,,,,,,52,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={04EBFB71-292B-4F28-B08F-37EBACE62FCF}
19311,PPR,,,,TER-225,,Pont-à-Celles,S00157201,VIESVILLE CE,001572-T01,5,regul,,,,,,,,NIV,PONT A CELLES,,,,,,PPR_autre,,,,,325,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={DA577FF1-5690-43F1-83EA-8A8C3FCC6C1E}
19312,PPR,,,,TER-226,,Charleroi,S00143801,GOSSELIES CE,001438-T01,5,regul,,,,,,,,NIV,PONT A CELLES,,,,,,PPR_autre,,,,,2160,,,,,,,130,345,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={FA3D7BA0-92E2-48E8-B6C8-296764DDE164}
19313,PPR,,,,TER-227,,Charleroi,S00140501,DIAMANT (AÉROPOLE) CE,001405-T01,5,regul,,,,,,,,NIV,PONT A CELLES,,,,,,PPR_autre,,,,,1600,,,,,,,225,153,,,,,,,,,,,,,1,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={6976A2C5-7D01-46F8-8F9D-A841260D2E5A}
19314,PPR,,,,TER-228,,Courcelles,S00156501,TRAZEGNIES CE,001565-T01,5,regul,,,,,,,,NIV,CHAPELLE LEZ HERLAIM,,,,,,PPR_autre,,,,,,,,,,0.32,,,30,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={A3B30368-CA36-4776-80F7-997A9F1E55CD}
19319,PPR,,,,TER-234,,Manage,S00118401,CE LA HESTRE,001184-T01,5,regul,,,,,,,,NIV,CHAPELLE LEZ HERLAIM,,,,,,PPR_autre,,,,,124,,,,,,,20,35,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={F82EB0C7-09E9-4750-8796-1B12A8D5BD2E}
19321,PPR,,,,TER-236,,La Louvière,S00116801,CE JOLIMONT,001168-T01,5,regul,,,,,,,,NIV,CHAPELLE LEZ HERLAIM,,,,,,PPR_autre,,,,,51,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={44DCA8CB-20DE-4B17-8589-C9A74E14A5E5}
19324,PPR,,,,TER-239,,La Louvière,S00117001,CE BOUILLON,001170-T01,5,regul,,,,,,,,NIV,CHAPELLE LEZ HERLAIM,,,,,,PPR_autre,,,,,1930,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={2A9EE61A-968D-4CE1-9109-D796B7C05017}
19325,PPR,,,,TER-240,,Morlanwelz,S00117601,RV DE MORLANWELZ,001176-T01,5,regul,,,,,,,,NIV,CHAPELLE LEZ HERLAIM,,,,,,PPR_autre,,,,,,,,,,16.15,,,15,,,,,,,,,5,,,,,,,,,,,,https://sig-acc.digiteaux.be/portal/apps/dashboards/4c3b6e1f2be14c70a76e7212ab3781b0#p1={25C4477A-0A23-4030-9459-B7A2C17703D0}
