objectid,cellule_id,cellule_nom,ilf,longueur,cellule_type,racc_nbr,delestage,commentaire,zde_code,prelevement,debit_correctif,debit_nuit_ref,indice_criticite,zf_nom,adduction,secteur,cellule_color,Projet,lng_km,ilp_calc,Type_Cell
3074,42500530,ADD MALMEDY CHODES ST VERS AL GOFFE R,2.5,1176.39447364,ADD,0,,,17825,,,,1,FAGNES,,,FUSHIA_P,Cellule Adduction,1.1763944736399998,0,Rural
3077,S00199701-B01,MALMEDY CHODES B BaT A ST,,506.26572524,OUV,0,,,17825,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.50626572524,0,Rural
3157,55309455,ST VITH SCHLIERBACH VERS BREIDFELD,1.5,1692.24396715,DIST,8,NONE,,1047,,,,1,FAGNES,,,CYAN,Cellule Distribution,1.6922439671499998,4.727450743094233,Rural
3174,42500505,ADD MALMEDY HEDOMONT R VERS HEDOMONT CV,2.5,1232.00134514,ADD,0,,,17825,,,,1,FAGNES,,,CYAN_P,Cellule Adduction,1.23200134514,0,Rural
3193,42500503,ADD MALMEDY PREAIX SP VERS FLORIHEID D,2.5,3222,ADD,0,,,17825,,,,1,FAGNES,,,CYAN_P,Cellule Adduction,3.222,0,Rural
3194,42500508,ADD ACHAT SAINT VITH SCHLIERBACH R300,2.5,2764.02370392,ADD,0,,,1047,,,,1,FAGNES,,,JAUNE_P,Cellule Adduction,2.76402370392,0,Rural
3283,55103415,JALHAY ROQUEZ,1.72,3524.53434925,DIST,26,2,,1088,,,,1,FAGNES,,,CYAN,Cellule Distribution,3.52453434925,7.376861004499117,Rural
3292,42500569,ADD SAINT VITH SCHLIERBACH R300 VERS SETZ,2.5,5491.02875303,ADD,0,,,1047,,,,1,FAGNES,,,FUSHIA_P,Cellule Adduction,5.49102875303,0,Rural
3305,55102966,LIERNEUX DEVANT LE BOIS,3.04,1651.20990019,DIST,34,,,1039,,,,1,FAGNES,,,FUSCHIA,Cellule Distribution,1.65120990019,20.590961812963766,Rural
3339,S00228901-B01,VIELSALM GOSSOIN B ST/R100,,46.98524092,OUV,0,,,16673,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.046985240920000004,0,Rural
3358,S00202001-B01,MALMEDY PONT SAINT DONAT B R20,,8.63776275,OUV,0,,,17836,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.00863776275,0,Rural
3389,S00228501-B01,VIELSALM GOLONFA B R250,,42.00584745,OUV,0,,,16668,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.042005847449999995,0,Rural
3454,S00201601-B01,MALMEDY NAPOLEON B R33,,15.50013532,OUV,0,,,17825,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.01550013532,0,Rural
3461,S00199901-B01,MALMEDY COMBES B SP/R90,,34.03648249,OUV,0,,,1088,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.03403648249,0,Rural
3478,S00198801-B02,MALMEDY AISANCE ARIMONT B ST+R120,,423.07564498,OUV,0,,,17825,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.42307564498,0,Rural
3497,002024-B02,MALMEDY TAHON B R28,,129.52536236,OUV,0,,,17825,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.12952536236,0,Rural
3507,55102831,VIELSALM VILLE AU BOIS,2.94,9255.01631732,DIST,170,2,,16670,,,,1,FAGNES,,,PETROLE,Cellule Distribution,9.255016317319999,18.36841710174611,Rural
3523,55302405,WAIMES BOTRANGE HYDROPHORE CENTRE NATURE,1.57,383.17115014,DIST,2,,,1070,,,,1,FAGNES,,,CYAN,Cellule Distribution,0.38317115014,5.219599646970436,Rural
3543,55301000,WAIMES BOTRANGE OUTREWARCHE,2.05,10379.41180522,DIST,115,,,1070,,,,1,FAGNES,,,VERT,Cellule Distribution,10.379411805219998,11.079625913114302,Rural
3571,S00228601-B01,VIELSALM GORONNE BAS B R50/SP,,26.78732425,OUV,0,,,1041,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.02678732425,0,Rural
3584,S00197301-B01,LIERNEUX JEVIGNE B SP/RT47,,16.49695245,OUV,0,,,1039,,,,1,FAGNES,,,ROUGE_OUVRAGE,Cellule Ouvrage,0.016496952449999998,0,Rural
3603,55102825,VIELSALM GORONNE,1.97,12091.67333002,DIST,124,2,,1041,,,,1,FAGNES,,,FUSCHIA,Cellule Distribution,12.091673330019999,10.254990902883986,Rural
3604,55102818,VIELSALM DEPART R DE MONT,2.64,6332.30619185,DIST,106,2,,16675,,,,1,FAGNES,,,ROUGE,Cellule Distribution,6.33230619185,16.73955693052673,Rural
