SAP_TPLNR,SAP_TPLMA,SAP_TPLKZ,SAP_FLTYP,SAP_PLTXT,SAP_Z_TAG_WW,SAP_Z_DL_ASSOCIE
S05139-B04,S05139,ZOBBR,S,Fontaine-l'Evêque Rue du Cimetière,,
S05139-B05,S05139,ZOBBR,S,Fontaine-l'Evêque Rue du Coq,,
S05139-B06,S05139,ZOBBR,S,Fontaine-l'Evêque Rue du Pétria,,
S05139-B07,S05139,ZOBBR,S,Fontaine-l'Evêque Rue Emile Vandervelde,,
S05139-B08,S05139,ZOBBR,S,Fontaine-l'Evêque Rue Lt Maurice Tasse,,
S05139-B09,S05139,ZOBBR,S,Fontaine-l'Evêque Rue Malbrough,,
S05033-B04,S05033,ZOBBR,S,Tubize Chaussée de Mons,,
S05033-B05,S05033,ZOBBR,S,Tubize Route Provinciale,,
S05033-B06,S05033,ZOBBR,S,Tubize Rue de l'Alliance,,
S05033-B07,S05033,ZOBBR,S,Tubize Rue des Frères Lefort,,
S05033-B08,S05033,ZOBBR,S,Tubize Rue du Château,,
S05033-B09,S05033,ZOBBR,S,Tubize Rue François Englert,,
S05033-B10,S05033,ZOBBR,S,Tubize Rue Neuve-Cour stierbecq,,
S05033-B11,S05033,ZOBBR,S,Tubize Rue Neuve-Cour hondzocht,,
S05034-B03,S05034,ZOBBR,S,Lincent Chemin de l'Arbre de Lincent,,
S05035-B07,S05035,ZOBBR,S,Rixensart Avenue de l'Avenir,,
S05035-B08,S05035,ZOBBR,S,Rixensart Rue de Limalsart,,
S05035-B10,S05035,ZOBBR,S,Rixensart Rue du Patch,,
S05035-B11,S05035,ZOBBR,S,Rixensart Rue Saint-Roch inbw genval,,
S05035-B12,S05035,ZOBBR,S,Rixensart Rue du Vieux Moulin,,
S05035-B13,S05035,ZOBBR,S,Rixensart Rue Saint-Roch,,
S05036-B03,S05036,ZOBBR,S,Chaumont-Gistoux Boulevard du Centenaire,,
S05036-B04,S05036,ZOBBR,S,Chaumont-Gistoux Chemin du Bonly,,
S05036-B05,S05036,ZOBBR,S,Chaumont-Gistoux Rue Brûlotte,,
S05036-B06,S05036,ZOBBR,S,Chaumont-Gistoux Rue du Gros Médart 150,,
S05036-B07,S05036,ZOBBR,S,Chaumont-Gistoux Rue Ferme du Mont,,
S05036-B08,S05036,ZOBBR,S,Chaumont-Gistoux Rue du Gros Médart 80,,
S05037-B02,S05037,ZOBBR,S,Hélécine Rue de Chapauveau,,
S05037-B03,S05037,ZOBBR,S,Hélécine Rue du Maréchal,,
S05040-B05,S05040,ZOBBR,S,Walcourt Chemin du Try Boutou,,
S05040-B06,S05040,ZOBBR,S,Walcourt Rue de Strée,,
S05041-B06,S05041,ZOBBR,S,Courcelles F. D. Roosevelt mouton blanc,,
S05041-B07,S05041,ZOBBR,S,Courcelles Place F. D. Roosevelt Belfius,,
S05041-B08,S05041,ZOBBR,S,Courcelles Rue de Gosselies,,
S05041-B09,S05041,ZOBBR,S,Courcelles Rue de la Croisette,,
S05041-B10,S05041,ZOBBR,S,Courcelles Rue de l'Epine,,
S05041-B11,S05041,ZOBBR,S,Courcelles Rue de Luttre,,
S05053-B07,S05053,ZOBBR,S,ENGIS RUE CHAUMONT,,
S05039-B07,S05039,ZOBBR,S,JUPRELLE CHEE BRUNEHAULT,,
S05039-B08,S05039,ZOBBR,S,JUPRELLE RUE PROVINCIALE,,
S05039-B09,S05039,ZOBBR,S,JUPRELLE RUE PROVINCIALE,,
S05039-B10,S05039,ZOBBR,S,JUPRELLE RUE DE HOUTAIN,,
S05039-B12,S05039,ZOBBR,S,JUPRELLE RUE DU VIEUX MOULIN,,
S00238612-B01,S00238612,ZOBBR,S,LT EU-GI-B B CHAMBRE 19 VC ROTHEUX-RAMET,,
S00250801-B01,S00250801,ZOBBR,S,AMBLY B RCP,,
S05007-B11,S05007,ZOBBR,S,DALHEM AFFNAY,,
S05007-B12,S05007,ZOBBR,S,DALHEM Rue Félix Delhaes,,
S05007-B13,S05007,ZOBBR,S,DALHEM CHEE des Wallons,,
S00205301-B01,S00205301,ZOBBR,S,OUPEYE VIVEGNIS B CE 50,,
S00195801-B01,S00195801,ZOBBR,S,JUPRELLE PAIFVE B CE500,,
S00121101-B02,S00121101,ZOBBR,S,POMPAGE DE BRAY B PUITS,,
S00121101-B01,S00121101,ZOBBR,S,POMPAGE DE BRAY B SP RV,,
S00121201-B01,S00121201,ZOBBR,S,CE DE BRAY B CE,,
S00122301-B02,S00122301,ZOBBR,S,CV COMPTAGE,,
S00124001-B02,S00124001,ZOBBR,S,ST ANTOINE CV VANNES,,
S00303202-B01,S00303202,ZOBBR,S,LT GAURAIN CARRIERE CCB MONELOT-CV1,,
S00303203-B01,S00303203,ZOBBR,S,LT GAURAIN CARRIERE CCB MONELOT-CV2,,
S00303204-B01,S00303204,ZOBBR,S,LT GAURAIN CARRIERE CCB MONELOT-CV3,,
S00303205-B01,S00303205,ZOBBR,S,LT GAURAIN CARRIERE CCB MONELOT-CV4,,
S00400005-B01,S00400005,ZOBBR,S,Puits 2,,
S00400014-B01,S00400014,ZOBBR,S,Puits 3,,
S00400016-B01,S00400016,ZOBBR,S,Puits 5,,
S00400017-B01,S00400017,ZOBBR,S,Puits 6,,
S00400018-B01,S00400018,ZOBBR,S,Puits 7,,
S00400019-B01,S00400019,ZOBBR,S,Puits 8,,
S00400020-B01,S00400020,ZOBBR,S,Puits 9,,
S00400021-B01,S00400021,ZOBBR,S,Puits 10,,
S00400022-B01,S00400022,ZOBBR,S,Puits 11,,
S00400023-B01,S00400023,ZOBBR,S,Puits 12,,
S00400024-B01,S00400024,ZOBBR,S,Puits 13,,
S00400025-B01,S00400025,ZOBBR,S,Puits 14,,
S00400026-B01,S00400026,ZOBBR,S,Puits 21,,
S00400027-B01,S00400027,ZOBBR,S,Puits 30,,
S00400028-B01,S00400028,ZOBBR,S,Puits 2,,
S00400029-B01,S00400029,ZOBBR,S,CALVAIRE HT,,
S05000-B006,S05000,ZOBBR,S,MAFFLE JONQUOY,,
S05000-B007,S05000,ZOBBR,S,HOUTAING,,
S05000-B011,S05000,ZOBBR,S,ATH BARAQUE,,
S05000-B012,S05000,ZOBBR,S,ATH ANDRICOURT,,
S05000-B013,S05000,ZOBBR,S,ATH RTE LESSINES,,
S05000-B014,S05000,ZOBBR,S,ATH BREUCQ,,
S05000-B015,S05000,ZOBBR,S,ATH SKIPPES,,
S05000-B016,S05000,ZOBBR,S,ATH CHEE BRUXELLES,,
S05000-B017,S05000,ZOBBR,S,ATH WATTINES,,
S05000-B018,S05000,ZOBBR,S,ATH THOMEE,,
S05000-B019,S05000,ZOBBR,S,ATH BLD HOPITAL,,
S05000-B020,S05000,ZOBBR,S,ATH CONTRESCARPE,,
S05000-B021,S05000,ZOBBR,S,ATH CHEE VALENCIENNES,,
S05000-B022,S05000,ZOBBR,S,ATH VX CH TOURNAI,,
S05000-B023,S05000,ZOBBR,S,ATH FORIERE,,
S05000-B024,S05000,ZOBBR,S,ATH RTE FLOBECQ,,
S05001-B005,S05001,ZOBBR,S,OVERBOELARE CV,,
S05001-B006,S05001,ZOBBR,S,GHOY CLOITRE,,
S05001-B010,S05001,ZOBBR,S,LESSINES HALLAGE,,
S05001-B011,S05001,ZOBBR,S,LESSINES SCHEVENELS,,
S05002-B003,S05002,ZOBBR,S,ATTRE RUE DES ENFERS,,
S05014-B08,S05014,ZOBBR,S,SILLY Chaussée de Soignies,,
S05015-B42,S05015,ZOBBR,S,TOURNAI TAILLE PIERRES,,
S05015-B44,S05015,ZOBBR,S,Tournai Rue de Barges,,
S05015-B45,S05015,ZOBBR,S,Tournai Rue des Clairisses,,
S05016-B02,S05016,ZOBBR,S,BELOEIL GRANDE,,
S05041-B12,S05041,ZOBBR,S,Courcelles Rue de Pont-à-Celles,,
S05041-B13,S05041,ZOBBR,S,Courcelles Rue de Pont-à-Celles rectem,,
S05041-B14,S05041,ZOBBR,S,Courcelles Rue des Claires Fontaines,,
S05041-B15,S05041,ZOBBR,S,Courcelles Rue du Château d'Eau,,
S05041-B16,S05041,ZOBBR,S,Courcelles Rue du Temple,,
S05041-B17,S05041,ZOBBR,S,Courcelles Rue Joseph L'hoir,,
S05041-B18,S05041,ZOBBR,S,Courcelles Rue Paul Janson,,
S05041-B19,S05041,ZOBBR,S,Courcelles Rue Philippe Monnoyer,,
S05042-B04,S05042,ZOBBR,S,Aiseau-Presles Rue d'Oignies,,
S05042-B05,S05042,ZOBBR,S,Aiseau-Presles Rue du Centre,,
S05042-B06,S05042,ZOBBR,S,Aiseau-Presles Rue Jules Destrée,,
S05042-B07,S05042,ZOBBR,S,Aiseau-Presles Rue Ma Campagne,,
S05042-B08,S05042,ZOBBR,S,Aiseau-Presles  Président John Kennedy,,
S05043-B03,S05043,ZOBBR,S,Châtelet Place du Marché,,
S05043-B04,S05043,ZOBBR,S,Châtelet Place Wilson,,
S05043-B05,S05043,ZOBBR,S,Châtelet Rue Alfred Nassaux,,
S05043-B06,S05043,ZOBBR,S,Châtelet Rue Culot-Reine,,
S05043-B07,S05043,ZOBBR,S,Châtelet Rue du 1er Décembre,,
S05043-B08,S05043,ZOBBR,S,Châtelet Rue du Trieu Kaisin,,
S05043-B09,S05043,ZOBBR,S,Châtelet Rue Sart-Allet,,
S05044-B04,S05044,ZOBBR,S,Fleurus Avenue Brunard,,
S05044-B05,S05044,ZOBBR,S,Fleurus Chaussée de Charleroi,,
S05044-B06,S05044,ZOBBR,S,Fleurus Chaussée de Gilly vers wang,,
S05044-B07,S05044,ZOBBR,S,Fleurus Route de Namur,,
