SAP_TPLNR,SAP_TPLMA,SAP_TPLKZ,SAP_FLTYP,SAP_PLTXT,SAP_Z_TAG_WW,SAP_Z_DL_ASSOCIE
S00308601-B01,S00308601,ZOBBR,S,CV RUE DENIS PESCHE 1,,
S00308701-B01,S00308701,ZOBBR,S,GONRIEUX CV FE GONRIEUX,,
S00308801-B01,S00308801,ZOBBR,S,CV RUE DU CENTRE,,
S00311101-B01,S00311101,ZOBBR,S,CV DEPART PRY,,
S00311201-B01,S00311201,ZOBBR,S,CV PASSAGE A NIVEAUX COUR SUR HEURE,,
S00311301-B01,S00311301,ZOBBR,S,CV DEPART RESERVOIR DE MARBAIX,,
S00311401-B01,S00311401,ZOBBR,S,CV RESERVOIR GOZEE,,
S05033-B01,S05033,ZOBBR,S,RUE DEPORTES,,
S05033-B02,S05033,ZOBBR,S,ANDRAIN,,
S05034-B02,S05034,ZOBBR,S,BRUYERE,,
S05035-B01,S05035,ZOBBR,S,MALAISE,,
S05035-B03,S05035,ZOBBR,S,RIXENSART AV ROYALE,,
S05035-B04,S05035,ZOBBR,S,RIXENSART MOULIN,,
S05035-B05,S05035,ZOBBR,S,RIXENSART BLEUETS,,
S05036-B02,S05036,ZOBBR,S,COLLEBRINE,,
S05037-B01,S05037,ZOBBR,S,FLONE,,
S05040-B01,S05040,ZOBBR,S,PRY,,
S05041-B01,S05041,ZOBBR,S,COURCELLES ZONING,,
S05041-B02,S05041,ZOBBR,S,COURCELLES RUE DE MONCEAU CV,,
S05041-B03,S05041,ZOBBR,S,COURCELLES PAS BOC,,
S05042-B01,S05042,ZOBBR,S,RUE DU SONDAGE - RUE DU CENTRE,,
S05043-B01,S05043,ZOBBR,S,RUE DE LOVERVAL,,
S05044-B01,S05044,ZOBBR,S,HEPPIGNIES CAPILONE,,
S05044-B02,S05044,ZOBBR,S,HEPPIGNIES JOSEPH DAYE,,
S05044-B03,S05044,ZOBBR,S,FLEURUS ETANG,,
S05045-B01,S05045,ZOBBR,S,HAM-SUR-HEURE - RUE FROIDE,,
S05045-B02,S05045,ZOBBR,S,JAMIOULX PLACE COMMUNALE,,
S05045-B04,S05045,ZOBBR,S,HSH PRE COLLIN,,
S05046-B01,S05046,ZOBBR,S,TRIEU MAILLARD - RUE DE JAMIOULX,,
S05046-B02,S05046,ZOBBR,S,RUE DE JAMIOULX,,
S05046-B03,S05046,ZOBBR,S,MONTIGNY-LE-TILLEUL CHU VESALE,,
S05047-B01,S05047,ZOBBR,S,THIMEON RUE JEAN WYNS,,
S05048-B01,S05048,ZOBBR,S,TAMINES HAMION,,
S05048-B02,S05048,ZOBBR,S,SAMBREVILLE ST ROCH,,
S05049-B01,S05049,ZOBBR,S,MONTIGNIES-SUR-SAMBRE GAZOMETRE,,
S05049-B03,S05049,ZOBBR,S,MONTIGNIES-SUR-SAMBRE JANSON,,
S05086-B01,S05086,ZOBBR,S,GERPINNES RUE DE FLORENNES,,
S05087-B01,S05087,ZOBBR,S,INCOURT RUE A. ROBERT,,
S05087-B02,S05087,ZOBBR,S,INCOURT RUE A. ROBERT (MONUMENT),,
S05087-B03,S05087,ZOBBR,S,INCOURT CHEE NAMUR,,
S05088-B01,S05088,ZOBBR,S,BRAINE-LE-COMTE SALMONSART,,
S05088-B02,S05088,ZOBBR,S,BRAINE-LE-COMTE GODART,,
S05089-B01,S05089,ZOBBR,S,SOIGNIES CH DU TOUR,,
S05091-B01,S05091,ZOBBR,S,HANNUT RUE P. ESNEE,,
S05091-B03,S05091,ZOBBR,S,HANNUT RUE TILLEUL,,
S05092-B01,S05092,ZOBBR,S,BRAIVES RUE LENS ST REMY,,
S05093-B01,S05093,ZOBBR,S,GEER RUE LENS ST REMY,,
S05093-B02,S05093,ZOBBR,S,GEER RUE BAJOT,,
S05094-B01,S05094,ZOBBR,S,BRAINE-L'ALLEUD NEUVE COUR,,
S05095-B01,S05095,ZOBBR,S,ECAUSSINNES CARRIERES,,
S05095-B02,S05095,ZOBBR,S,ECAUSSINNES BACCARA,,
S05096-B01,S05096,ZOBBR,S,FLOREFFE GUBIN,,
S05096-B02,S05096,ZOBBR,S,FLOREFFE RUE SUARLEE,,
S05096-B03,S05096,ZOBBR,S,FLOREFFE COMMUNES,,
S05096-B04,S05096,ZOBBR,S,FLOREFFE BOIS NAMUR,,
S05097-B01,S05097,ZOBBR,S,SAUVENIERE CHEE TIRLEMONT,,
S05097-B02,S05097,ZOBBR,S,LES ISNES SAUCIN,,
S05098-B01,S05098,ZOBBR,S,ITTRE RY TERNEL,,
S05098-B02,S05098,ZOBBR,S,ITTRE FERME DU POU,,
S05099-B01,S05099,ZOBBR,S,ONOZ RTE EGHEZEE,,
S05099-B02,S05099,ZOBBR,S,BALATRE TONGRINNE,,
S05103-B01,S05103,ZOBBR,S,WALHAIN CHEVEQUEUE,,
S05124-B01,S05124,ZOBBR,S,ORP-JAUCHE JACQUEMIN,,
S00166702-B01,S00166702,ZOBBR,S,NAMUR R DES SARAZINS B PC B13,,
S00166801-B13,S00166801,ZOBBR,S,JAMBES UP CV1/CV2,,
S00166801-B14,S00166801,ZOBBR,S,JAMBES UP CV3,,
S00166801-B15,S00166801,ZOBBR,S,JAMBES UP CV4,,
S00171807-B01,S00171807,ZOBBR,S,NAMUR VAL ST GEORGES B PC,,
S00213104-B01,S00213104,ZOBBR,S,SPRIMONT DOLEMBREUX B P2,,
S00213105-B01,S00213105,ZOBBR,S,SPRIMONT DOLEMBREUX B P1,,
S00252501-B02,S00252501,ZOBBR,S,PORCHERESSE B R25+SP TETE,,
S00253301-B01,S00253301,ZOBBR,S,CHANLY B R,,
S00253701-B01,S00253701,ZOBBR,S,WELLIN HAUT B R,,
S00256602-B01,S00256602,ZOBBR,S,BERTOGNE SALLE CV B,,
S00257504-B01,S00257504,ZOBBR,S,NEUFCHATEAU B SEMEL P1,,
S00257701-B01,S00257701,ZOBBR,S,HAMIPRÉ B R100,,
S00261402-B01,S00261402,ZOBBR,S,LES ASPÈCHES B D,,
S00261502-B01,S00261502,ZOBBR,S,MAISSIN HÔMONT B BAS P2,,
S00262801-B02,S00262801,ZOBBR,S,WAILLIMONT B PRÉPOMPAGE,,
S00264001-B01,S00264001,ZOBBR,S,HEINSCH B R180,,
S00264601-B01,S00264601,ZOBBR,S,UDANGE ARLON B CE30+S,,
S00267102-B01,S00267102,ZOBBR,S,ARLON CALLEMEYN CV B,,
S00267103-B01,S00267103,ZOBBR,S,ARLON HYDRION CV B,,
S00267105-B01,S00267105,ZOBBR,S,ARLON POSTERIE CV B,,
S00267701-B01,S00267701,ZOBBR,S,ATHUS RUE HAUTE CV B,,
S00269201-B01,S00269201,ZOBBR,S,NEUFCHATEAU MOLINFAING ZG CV B,,
S00278601-B01,S00278601,ZOBBR,S,NAMUR PONT DE SAMBRE QM B,,
S00282301-B01,S00282301,ZOBBR,S,HERBEUMONT R LE TERME CV B,,
S00290501-B01,S00290501,ZOBBR,S,LA BRUYERE LIESSE QM B,,
S00290701-B01,S00290701,ZOBBR,S,ARLON R SESSELICH CVA7 B,,
S00291101-B01,S00291101,ZOBBR,S,DURBUY WARRE CV B,,
S05004-B02,S05004,ZOBBR,S,MESSANCY GRANDE,,
S05006-B05,S05006,ZOBBR,S,ROSENBERG,,
S05006-B06,S05006,ZOBBR,S,ARLON GRASS,,
S05108-B01,S05108,ZOBBR,S,MOMIGNIES CHEE CHIMAY,,
S05108-B02,S05108,ZOBBR,S,MOMIGNIES MANDENNE,,
S05110-B01,S05110,ZOBBR,S,CINEY BARCENAL,,
S05110-B03,S05110,ZOBBR,S,CINEY ST GILLES,,
S05113-B01,S05113,ZOBBR,S,HAMOIS ACHET,,
S05114-B01,S05114,ZOBBR,S,LA BRUYERE RTE GEMBLOUX,,
S05115-B01,S05115,ZOBBR,S,LIBIN DEVANT HETRES,,
S05116-B01,S05116,ZOBBR,S,MARTELANGE NEUPERLE,,
S05117-B01,S05117,ZOBBR,S,VEDRIN FONTAINE,,
S05117-B02,S05117,ZOBBR,S,NAMUR BAS-DAUSSOULX,,
S05118-B01,S05118,ZOBBR,S,NEUFCHATEAU GUEFLENIERE,,
S05119-B01,S05119,ZOBBR,S,PROFONDEVILLE RUE MARCHAL,,
S05119-B02,S05119,ZOBBR,S,PROFONDEVILLE TAILFER,,
S05119-B03,S05119,ZOBBR,S,PROFONDEVILLE BURNOT,,
S05119-B04,S05119,ZOBBR,S,PROFONDEVILLE FERME D'EN HAUT,,
S05119-B05,S05119,ZOBBR,S,PROFONDEVILLE CH MESANGES,,
S05119-B06,S05119,ZOBBR,S,PROFONDEVILLE CH BOIS,,
S05119-B07,S05119,ZOBBR,S,PROFONDEVILLE CHEE DINANT,,
S05120-B01,S05120,ZOBBR,S,VAUX-SUR-SURE LIONFAING,,
S05121-B01,S05121,ZOBBR,S,YVOIR SP SPONTIN,,
S05121-B02,S05121,ZOBBR,S,YVOIR SPONTIN NUTONS,,
S05121-B03,S05121,ZOBBR,S,YVOIR EVREHAILLES,,
S05121-B04,S05121,ZOBBR,S,YVOIR GAYOLLE,,
S05121-B05,S05121,ZOBBR,S,YVOIR CARRIERES,,
S05121-B06,S05121,ZOBBR,S,YVOIR HOUX,,
S05121-B07,S05121,ZOBBR,S,YVOIR ANHEE,,
S05121-B08,S05121,ZOBBR,S,YVOIR CRETES DE MEUSE,,
S05121-B09,S05121,ZOBBR,S,YVOIR TRICOINTE,,
S05121-B10,S05121,ZOBBR,S,YVOIR GODINNE CEDIMO,,
S05121-B11,S05121,ZOBBR,S,YVOIR GODINNE CIBE,,
S05125-B02,S05125,ZOBBR,S,VIROINVAL Albert 1er,,
S05125-B03,S05125,ZOBBR,S,VIROINVAL DEFRAIRE,,
S05126-B01,S05126,ZOBBR,S,COUVIN SIGNY,,
S05126-B02,S05126,ZOBBR,S,COUVIN TRIEUX,,
S05126-B03,S05126,ZOBBR,S,COUVIN CENTRE,,
S05127-B01,S05127,ZOBBR,S,GESVES LOYERS,,
S00234805-B02,S00234805,ZOBBR,S,LT EU-GI-A B CV 10 Local HT,,
S00300901-B01,S00300901,ZOBBR,S,FELGAUT CV,,
S00311801-B01,S00311801,ZOBBR,S,COMPLEXE DE LA WARCHE STATION,,
S05007-B07,S05007,ZOBBR,S,DALHEM RTE MONCEAU,,
S05009-B11,S05009,ZOBBR,S,MABROUCK,,
S05010-B02,S05010,ZOBBR,S,AACHENER STRASSE 78,,
S05032-B01,S05032,ZOBBR,S,RUE DU MOULIN,,
S05032-B02,S05032,ZOBBR,S,LAGESTRAAT,,
S05039-B01,S05039,ZOBBR,S,JUPRELLE HEURE-LE-TIEXHE,,
S05050-B01,S05050,ZOBBR,S,AYWAILLE GROS THIER,,
S05050-B02,S05050,ZOBBR,S,AYWAILLE SECHEVAL,,
S05050-B03,S05050,ZOBBR,S,AYWAILLE PROMONTOIRE,,
S05050-B04,S05050,ZOBBR,S,AYWAILLE AWAN FRANSON,,
S05050-B05,S05050,ZOBBR,S,AYWAILLE HENUMONT,,
S05051-B02,S05051,ZOBBR,S,DONCEEL LAVAULX,,
S05053-B01,S05053,ZOBBR,S,ENGIS POUDRERIE,,
S05053-B03,S05053,ZOBBR,S,ENGIS RAMIOUL,,
S05054-B02,S05054,ZOBBR,S,FERNELMONT SAUVENIERE,,
S05054-B03,S05054,ZOBBR,S,FERNELMONT SAUVENIERE ACHAT,,
S05056-B01,S05056,ZOBBR,S,HERVE HORWARD,,
S05056-B02,S05056,ZOBBR,S,GD RECHAIN SNACS,,
S05056-B04,S05056,ZOBBR,S,HERVE VERTE VOIE,,
S05057-B02,S05057,ZOBBR,S,JALHAY RTE BARAQUE MICHEL,,
S05057-B03,S05057,ZOBBR,S,JALHAY PRISE NIVEZE,,
S05058-B01,S05058,ZOBBR,S,MALMEDY HEDOMONT,,
S05059-B01,S05059,ZOBBR,S,NEUPRE GROSSE PIERRE,,
S05059-B03,S05059,ZOBBR,S,NEUPRE RUE MARTIN,,
S05060-B03,S05060,ZOBBR,S,OUPEYE VVG VERS HT SARTS MOY SUP,,
S05061-B02,S05061,ZOBBR,S,PEPINSTER VOIE CREUHY,,
S05062-B01,S05062,ZOBBR,S,RAEREN ALCAN,,
S05062-B02,S05062,ZOBBR,S,RAEREN TOTLEGER,,
S05062-B03,S05062,ZOBBR,S,RAEREN HORSTER PARK,,
S05063-B01,S05063,ZOBBR,S,SAINT-VITH SETZ,,
S05063-B03,S05063,ZOBBR,S,SAINT-VITH RODERSTAL,,
S05064-B02,S05064,ZOBBR,S,SPA FRAHINFAZ,,
S05064-B04,S05064,ZOBBR,S,SPA PROM. ORLEANS,,
S05065-B01,S05065,ZOBBR,S,STAVELOT AMERMONT,,
S05066-B02,S05066,ZOBBR,S,VERVIERS POLLEUR,,
S05066-B03,S05066,ZOBBR,S,VERVIERS TRIBOMONT,,
S05066-B04,S05066,ZOBBR,S,VERVIERS WEGNEZ,,
S05068-B01,S05068,ZOBBR,S,WAIMES TCHENAS,,
S05068-B02,S05068,ZOBBR,S,WAIMES EGLISE,,
S05068-B03,S05068,ZOBBR,S,WAIMES HAUTE,,
S05069-B01,S05069,ZOBBR,S,WANZE STOCK AMERICAIN,,
S05070-B03,S05070,ZOBBR,S,HERSTAL RUE HERMEE,,
S05077-B01,S05077,ZOBBR,S,OHEY SART DONNEUX,,
S05079-B02,S05079,ZOBBR,S,SPRIMONT TRIXHE NOLLET,,
S05082-B01,S05082,ZOBBR,S,VIELSALM COMMANSTER,,
S00263601-B02,S00263601,ZOBBR,S,GRUBERMULHEN B CHLORATION,,
S00127001-B01,S00127001,ZOBBR,S,RV DE ST DENIS B RV,,
S00287001-B26,S00287001,ZOBBR,S,NODEBAIS CABINE HT,,
S00116001-B02,,ZOBBR,S,PUITS TRIVIERES B ST  HTEN,,
S00164401-B02,,ZOBBR,S,EVELETTE UP R100 RTE. HAVEL. B,,
S00105001-B02,,ZOBBR,S,JOLLAIN-MERLIN  B PUITS 1,,
S00105701-B02,,ZOBBR,S,GROSAGE B SURP,,
S00191201-B02,,ZOBBR,S,HERSTAL MILMORT B SU,,
S00168301-B03,,ZOBBR,S,EGHEZÉE LT B SU AISCHE EN R,,
S00168301-B02,,ZOBBR,S,EGHEZÉE LT B CE150,,
S00110901-B02,,ZOBBR,S,VILLE-POMMEROEUL B RES,,
S00115501-B02,,ZOBBR,S,WAUDREZ B G1 RV SP,,
S00233201-B02,,ZOBBR,S,WAREMME B SP/P1/P2,,
S00104701-B05,,ZOBBR,S,BLATON SP B PUITS 1 ET 2,,
S00125901-B03,,ZOBBR,S,LE ROEULX B SP,,
S00168409-B01,,ZOBBR,S,NAMUR LT B CE105 CITADELLE,,
S00170103-B02,,ZOBBR,S,FLAWINNE LT B CE1500 SUARLÉE,,
S00170103-B03,,ZOBBR,S,FLAWINNE LT NOYER CE RHISNES  JAUMAUX CV,,
S00170103-B04,,ZOBBR,S,FLAWINNE LT NOYER CE RHISNES  JAUMAUX CV,,
S00170104-B01,,ZOBBR,S,FLAWINNE LT R MUGUETS CV B,,
S00102401-B01,,ZOBBR,S,ORCQ ADD CV15,,
S00101401-B02,,ZOBBR,S,PT SUPPRIME,,
S00100501-B02,,ZOBBR,S,BARRY B P5 (TH),,
S00102402-B03,,ZOBBR,S,ORCQ ADD CV17,,
S00103203-B01,,ZOBBR,S,MAINVAULT (HAUT) B SURP. ENTÉR,,
S00105001-B04,,ZOBBR,S,JOLLAIN-MERLIN  B PUITS 2,,
S00172001-B01,,ZOBBR,S,RHISNES LT B R100,,
S00165801-B02,,ZOBBR,S,FRANIÈRE UP B R70+SP ST PIERRE,,
S00165801-B03,,ZOBBR,S,FRANIÈRE UP B G1 ST PIERRE,,
S00170501-B02,,ZOBBR,S,FRANIÈRE LT B R66 TRÉMOUROU,,
S00101601-B02,,ZOBBR,S,ORCQ-HP B SURP PAV,,
S00168401-B12,,ZOBBR,S,NAMUR VANDENDAEL QM B,,
S00239201-B04,,ZOBBR,S,AMAY ECLUSE CABINE HT,,
S00118201-B01,,ZOBBR,S,TROUPETTE B P1,,
S00118201-B05,,ZOBBR,S,TROUPETTE B P2,,
S00234502-B04,,ZOBBR,S,COMPL GILEPPE STATION CHALET REJET,,
S06062-B03,,ZOBBR,S,NE PAS UTILISER,,
S00287001-B01,,ZOBBR,S,NODEBAIS P7 EB B,,
S00227201-B04,S00227201,ZOBBR,S,VERVIERS S.CENTRAUX B CONC.43,,
S00100201-B02,S00100201,ZOBBR,S,VEZON B P1 HT+ AB,,
S00100301-B02,S00100301,ZOBBR,S,WASMES A-B B P2 HT+ AB,,
S00100401-B02,S00100401,ZOBBR,S,MAUBRAY B P3 HT+ AB,,
S00100502-B02,S00100502,ZOBBR,S,BARRY B HT+ AB,,
S00101201-B02,S00101201,ZOBBR,S,RAMEGNIES_CHIN B HT,,
S00101301-B02,S00101301,ZOBBR,S,FROIDMONT B ANT TEL.,,
S00101901-B02,S00101901,ZOBBR,S,NECHIN B ANT TEL.,,
S00104701-B06,S00104701,ZOBBR,S,BLATON CARRIERE 1 B,,
S00105201-B04,S00105201,ZOBBR,S,CELLES BASSIN DEC.,,
S00105201-B05,S00105201,ZOBBR,S,CELLES B PUITS3,,
S00115001-B02,S00115001,ZOBBR,S,LES RUELLES B G1,,
S00109401-B04,S00109401,ZOBBR,S,LEUZE BASSIN DEC.,,
S00116601-B03,S00116601,ZOBBR,S,HOUDENG-AIMERIES B CAT(C.E),,
S00110201-B03,S00110201,ZOBBR,S,WIERS BASSIN DEC.,,
S00110201-B04,S00110201,ZOBBR,S,WIERS P3 B,,
S00117901-B02,S00117901,ZOBBR,S,LA COMMANDERIE PIETON B GAL,,
S00111401-B03,S00111401,ZOBBR,S,BAUDOUR CONCIERGERIE B,,
S00112001-B04,S00112001,ZOBBR,S,NEUFVILLES B NORD DE BRAINE,,
S00112001-B05,S00112001,ZOBBR,S,NEUFVILLES  B ANC N DE B,,
S00112001-B08,S00112001,ZOBBR,S,NEUFVILLES  B RES 100M³,,
S00122301-B03,S00122301,ZOBBR,S,TERTRE P1 B,,
S00123701-B02,S00123701,ZOBBR,S,SP QUIEVRAIN B PUITS,,
S00125301-B02,S00125301,ZOBBR,S,ERQUENNES B PUITS P1,,
S00125401-B04,S00125401,ZOBBR,S,ROISIN B G1,,
S00125401-B05,S00125401,ZOBBR,S,ROISIN B G2,,
S00125401-B06,S00125401,ZOBBR,S,ROISIN B G3,,
S00142401-B02,S00142401,ZOBBR,S,COUVIN VENTE INASEP B FOND DE L'EAU1,,
S00142401-B03,S00142401,ZOBBR,S,COUVIN VENTE INASEP B FOND DE L'EAU2,,
S00165701-B02,S00165701,ZOBBR,S,FLORIFFOUX UP B CHT,,
S00165701-B03,S00165701,ZOBBR,S,FLORIFFOUX UP B ST,,
S00165701-B04,S00165701,ZOBBR,S,FLORIFFOUX UP B DÉCANTATION,,
S00276501-B01,S00276501,ZOBBR,S,REBECQ PUITS B,,
S00276501-B02,S00276501,ZOBBR,S,REBECQ SP B,,
S00145601-B02,S00145601,ZOBBR,S,JANDRAIN CAPT B,,
S00145601-B03,S00145601,ZOBBR,S,JANDRAIN CV LIASON SP B,,
S00163401-B02,S00163401,ZOBBR,S,DONGELBERG B MAGASIN,,
S00163401-B03,S00163401,ZOBBR,S,DONGELBERG B CONCIERGERIE,,
S00164501-B02,S00164501,ZOBBR,S,PERWEZ UP B R50 PERWEZ R2,,
S00168201-B02,S00168201,ZOBBR,S,FRANC WARET LT B R300,,
S00163901-B01,S00163901,ZOBBR,S,VIROINVAL UP B SP VIERVES,,
S00163901-B02,S00163901,ZOBBR,S,VIROINVAL UP B E1 VIERVES,,
S00164201-B01,S00164201,ZOBBR,S,SORÉE UP B R+SP,,
S00164201-B02,S00164201,ZOBBR,S,SORÉE UP B P1,,
S00164701-B03,S00164701,ZOBBR,S,MAIBELLE UP B P1,,
S00164701-B04,S00164701,ZOBBR,S,MAIBELLE UP B P2,,
S00164802-B02,S00164802,ZOBBR,S,BEAURAING SALUMONT PC,,
S00174601-B05,S00174601,ZOBBR,S,ORP-JAUCHE JANDRAIN B P4,,
S00165401-B04,S00165401,ZOBBR,S,ANSEREMME UP B P1 PRIEURÉ,,
S00165401-B05,S00165401,ZOBBR,S,ANSEREMME UP B P2 PRIEURÉ,,
S00165401-B06,S00165401,ZOBBR,S,ANSEREMME UP B FILTRE PRIEURÉ,,
S00176201-B01,S00176201,ZOBBR,S,ANDENNE FONT DE L'OURS B E1,,
S00176201-B02,S00176201,ZOBBR,S,ANDENNE FONT DE L'OURS B PR1,,
S00176201-B03,S00176201,ZOBBR,S,ANDENNE FONT DE L'OURS B PR2,,
S00176201-B04,S00176201,ZOBBR,S,ANDENNE FONT DE L'OURS B PR3,,
S00176201-B05,S00176201,ZOBBR,S,ANDENNE FONT DE L'OURS B R,,
S00176301-B02,S00176301,ZOBBR,S,ANDENNE FONT STE BEGGE B E1,,
S00176301-B03,S00176301,ZOBBR,S,ANDENNE FONT STE BEGGE B PR3,,
S00176301-B04,S00176301,ZOBBR,S,ANDENNE FONT STE BEGGE B PR4,,
S00177301-B01,S00177301,ZOBBR,S,ANDENNE PUITS DUMONT B HT,,
S00177301-B02,S00177301,ZOBBR,S,ANDENNE PUITS DUMONT B P1,,
S00177601-B02,S00177601,ZOBBR,S,ANDENNE SEILLES B P1,,
S00177601-B03,S00177601,ZOBBR,S,ANDENNE SEILLES B P2,,
S00177601-B04,S00177601,ZOBBR,S,ANDENNE SEILLES B P7,,
S00177601-B05,S00177601,ZOBBR,S,ANDENNE SEILLES B TUNNEL,,
S00177602-B02,S00177602,ZOBBR,S,ANDENNE SEILLES B P3,,
S00177602-B03,S00177602,ZOBBR,S,ANDENNE SEILLES B P4,,
S00177602-B04,S00177602,ZOBBR,S,ANDENNE SEILLES B P5,,
S00177602-B05,S00177602,ZOBBR,S,ANDENNE SEILLES B P6,,
S00177602-B06,S00177602,ZOBBR,S,ANDENNE SEILLES B CV1,,
S00177602-B07,S00177602,ZOBBR,S,ANDENNE SEILLES B CV2,,
S00177602-B08,S00177602,ZOBBR,S,ANDENNE SEILLES B CV3,,
S00177605-B01,S00177605,ZOBBR,S,ANDENNE SEILLES B PR2,,
S00177605-B02,S00177605,ZOBBR,S,ANDENNE SEILLES B PR3,,
S00166201-B03,S00166201,ZOBBR,S,PAYENNE UP B G1,,
S00166502-B01,S00166502,ZOBBR,S,BEEZ-MLD UP B P1 BEEZ,,
S00166502-B02,S00166502,ZOBBR,S,BEEZ-MLD UP B P2 BEEZ,,
S00166502-B03,S00166502,ZOBBR,S,BEEZ-MLD UP B P2B BEEZ,,
S00166502-B06,S00166502,ZOBBR,S,BEEZ-MLD UP B P5 BEEZ,,
S00166502-B10,S00166502,ZOBBR,S,BEEZ-MLD UP B CONCIERGERIE,,
S00166801-B21,S00166801,ZOBBR,S,JAMBES UP B RESERVE,,
S00181401-B01,S00181401,ZOBBR,S,BAELEN MEDAEL B E1,,
S00181401-B02,S00181401,ZOBBR,S,BAELEN MEDAEL B SP1,,
S00167101-B02,S00167101,ZOBBR,S,ARBRE UP B E1 FORGE,,
S00167108-B01,S00167108,ZOBBR,S,ARBRE UP B E1 BELFONTAINE,,
S00167108-B02,S00167108,ZOBBR,S,ARBRE LT B R80 BONNE FONTAINE,,
S00167604-B01,S00167604,ZOBBR,S,DOISCHE UP B P1 GOCHENEE,,
S00167604-B02,S00167604,ZOBBR,S,DOISCHE LT B SP GOCHENEE,,
S00167605-B01,S00167605,ZOBBR,S,DOISCHE UP B P1 GIMNEE,,
S00167605-B02,S00167605,ZOBBR,S,DOISCHE LT B SP GIMNEE,,
S00168407-B02,S00168407,ZOBBR,S,NAMUR CITADELLE T.CARREE PC B,,
S00189601-B01,S00189601,ZOBBR,S,GEER RUE N. BAJOT DN80 B QM,,
S00189601-B02,S00189601,ZOBBR,S,GEER RUE N. BAJOT DN100 B QM,,
S00193601-B01,S00193601,ZOBBR,S,JALHAY BARAQUE LEMOINE B P1,,
S00193601-B02,S00193601,ZOBBR,S,JALHAY BARAQUE LEMOINE B R45,,
S00194001-B02,S00194001,ZOBBR,S,JALHAY CRAMA B P1,,
S00195201-B01,S00195201,ZOBBR,S,JALHAY ROYOMPRE B P1,,
S00195201-B02,S00195201,ZOBBR,S,JALHAY ROYOMPRE B R45,,
S00196901-B02,S00196901,ZOBBR,S,LIERNEUX FANGE COLAS B D1,,
S00196901-B03,S00196901,ZOBBR,S,LIERNEUX FANGE COLAS B D2,,
S00199101-B02,S00199101,ZOBBR,S,MALMEDY BAGATELLE B D1,,
S00199101-B03,S00199101,ZOBBR,S,MALMEDY BAGATELLE B D2,,
S00199101-B04,S00199101,ZOBBR,S,MALMEDY BAGATELLE B P1,,
S00199401-B01,S00199401,ZOBBR,S,MALMEDY BOUSSIRE B D1,,
S00199401-B02,S00199401,ZOBBR,S,MALMEDY BOUSSIRE B R50,,
S00199801-B01,S00199801,ZOBBR,S,MALMEDY CLIGNEVAL B D1,,
S00199801-B02,S00199801,ZOBBR,S,MALMEDY CLIGNEVAL B R15,,
S00200601-B01,S00200601,ZOBBR,S,MALMEDY HE DE LA BRUYERE B D1,,
S00200601-B02,S00200601,ZOBBR,S,MALMEDY HE DE LA BRUYERE B R10,,
S00200802-B01,S00200802,ZOBBR,S,MALMEDY LAITERIE B D1,,
S00200802-B02,S00200802,ZOBBR,S,MALMEDY LAITERIE B D1/SP/R19,,
S00200901-B01,S00200901,ZOBBR,S,MALMEDY LAMONRIVILLE B D1,,
S00200901-B02,S00200901,ZOBBR,S,MALMEDY LAMONRIVILLE B SP,,
S00201402-B01,S00201402,ZOBBR,S,MALMEDY MEIZ B D2,,
S00201402-B02,S00201402,ZOBBR,S,MALMEDY MEIZ B SP/P1/R40,,
S00202001-B02,S00202001,ZOBBR,S,MALMEDY PONT SAINT DONAT B P1,,
S00202002-B01,S00202002,ZOBBR,S,MALMEDY PONT SAINT DONAT B D1,,
S00202002-B02,S00202002,ZOBBR,S,MALMEDY PONT SAINT DONAT B D2,,
S00202601-B02,S00202601,ZOBBR,S,MALMEDY WARCHENNE B CH VANNES,,
S00172901-B02,S00172901,ZOBBR,S,HERBUCHENNE LT B CE50,,
S00173402-B01,S00173402,ZOBBR,S,FALMIGNOUL LT B SP,,
S00173402-B02,S00173402,ZOBBR,S,FALMIGNOUL LT B SU,,
S00173402-B03,S00173402,ZOBBR,S,ANSEREMME UP B P1 MOULIN,,
S00173502-B01,S00173502,ZOBBR,S,FALMAGNE UP B D1 BIERJOFOSSE,,
S00173502-B02,S00173502,ZOBBR,S,FALMAGNE UP B R60+SP,,
S00188901-B01,S00188901,ZOBBR,S,FERRIERES TRUCHETTE B E1,,
S00188901-B02,S00188901,ZOBBR,S,FERRIERES TRUCHETTE B SP1/R22,,
S00206101-B02,S00206101,ZOBBR,S,PEPINSTER GRAND FONTAINE B G1,,
S00214101-B01,S00214101,ZOBBR,S,SPRIMONT HERMONFONTAINE B D1,,
S00214101-B02,S00214101,ZOBBR,S,SPRIMONT HERMONFONTAINE B SP/R,,
S00214201-B01,S00214201,ZOBBR,S,SPRIMONT HERVAIE B D1,,
S00214201-B02,S00214201,ZOBBR,S,SPRIMONT HERVAIE B SP/R,,
S00240104-B01,S00240104,ZOBBR,S,ORTHO B BARRAGISTE TAVERNE,,
S00240104-B02,S00240104,ZOBBR,S,ORTHO B BARRAGISTE SPW (FTLB),,
S00240201-B02,S00240201,ZOBBR,S,LES TAILLES B P,,
S00242202-B01,S00242202,ZOBBR,S,VISSOULE B VISSOULE D,,
S00242202-B02,S00242202,ZOBBR,S,VISSOULE B COWAN D,,
S00243701-B01,S00243701,ZOBBR,S,SENONCHAMPS B CE100,,
S00243701-B02,S00243701,ZOBBR,S,SENONCHAMPS B CV,,
